task,seed,step,reward
CartpoleSwingupSparse,5,61931520,141.9805
CartpoleSwingupSparse,5,62914560,143.4336
CartpoleSwingupSparse,5,63897600,139.8027
CartpoleSwingupSparse,5,64880640,151.8081
CartpoleSwingupSparse,5,65863680,155.1138
CartpoleSwingupSparse,5,66846720,141.7954
CartpoleSwingupSparse,5,67829760,156.5752
CartpoleSwingupSparse,5,68812800,160.9722
CartpoleSwingupSparse,5,69795840,31.7109
CartpoleSwingupSparse,5,70778880,76.4224
CartpoleSwingupSparse,5,71761920,142.3120
CartpoleSwingupSparse,5,72744960,181.5249
CartpoleSwingupSparse,5,73728000,198.7471
CartpoleSwingupSparse,5,74711040,199.7949
